"ablation","threshold","validation_fast_path_rate","accuracy","balanced_accuracy","precision","recall","f1","roc_auc","pr_auc","false_fast_count","false_fast_rate","false_slow_count","false_slow_rate","fast_path_rate","safe_fast_precision","cm_tp","cm_tn","cm_fp","cm_fn"
"semantic_component_only","0.41568","0.03800675675675676","0.7001703577512777","0.48280030531786294","0.7195442594215601","0.9624853458382181","0.8234704112337011","0.3174885779710971","0.6227928257686833","32","0.03751465416178194","320","0.9968847352024922","0.028109028960817718","0.030303030303030304","821","1","320","32"
"structured_component_only","0.0","0.0","0.7265758091993185","0.5","0.7265758091993185","1.0","0.84163788850518","0.9332226738686622","0.9765619841676391","0","0.0","321","1.0","0.0","0.0","853","0","321","0"
"hybrid_without_exit_code","0.334112","0.04560810810810811","0.7223168654173765","0.5067838269183713","0.7293298520452568","0.9824150058616647","0.8371628371628372","0.6114665848590096","0.8429253438911612","15","0.017584994138335287","311","0.9688473520249221","0.02129471890971039","0.4","838","10","311","15"
"hybrid_without_test_status","0.469868","0.11317567567567567","0.7589437819420783","0.6106777253088786","0.7766990291262136","0.9378663540445487","0.8497079129049391","0.8111868318889169","0.9287763306807657","53","0.06213364595545135","230","0.7165109034267912","0.12265758091993186","0.6319444444444444","800","91","230","53"
"hybrid_without_error_keywords","0.372721","0.06503378378378379","0.7342419080068143","0.5315050782833539","0.7395925597874224","0.9788980070339977","0.8425832492431887","0.7628655323158506","0.9062948866659608","18","0.021101992966002344","294","0.9158878504672897","0.03833049403747871","0.6","835","27","294","18"
"hybrid_without_expectation_text","0.449728","0.10219594594594594","0.7606473594548552","0.5895063419194851","0.7653061224489796","0.9671746776084408","0.8544795442775763","0.797217444022015","0.922238766574127","28","0.032825322391559206","253","0.7881619937694704","0.0817717206132879","0.7083333333333334","825","68","253","28"
"full_hybrid","0.426432","0.07939189189189189","0.7504258943781942","0.5698432872069624","0.7564102564102564","0.9683470105509965","0.8493573264781491","0.7847344720667024","0.9189396916130514","27","0.031652989449003514","266","0.8286604361370716","0.06984667802385008","0.6707317073170732","826","55","266","27"
