"group","n","flag","threshold","accuracy","balanced_accuracy","precision","recall","f1","roc_auc","pr_auc","false_fast_count","false_fast_rate","false_slow_count","false_slow_rate","fast_path_rate","safe_fast_precision","cm_tp","cm_tn","cm_fp","cm_fn"
"build_execution","19","too_few_or_single_class","","","","","","","","","","","","","","","","","",""
"error_diagnosis","8","too_few_or_single_class","","","","","","","","","","","","","","","","","",""
"file_modification","196","","0.426432","0.7755102040816326","0.4783416992005949","0.825136612021858","0.9263803680981595","0.8728323699421965","0.875627440044618","0.9730472368537607","12","0.0736196319018405","32","0.9696969696969697","0.0663265306122449","0.07692307692307693","151","1","32","12"
"file_reading","58","","0.426432","0.7931034482758621","0.5","0.7931034482758621","1.0","0.8846153846153846","0.8858695652173912","0.9701850672423082","0","0.0","12","1.0","0.0","0.0","46","0","12","0"
"navigation_or_inspection","526","","0.426432","0.6653992395437263","0.5842078960519741","0.6511627906976745","0.9655172413793104","0.7777777777777779","0.8059606560356185","0.8899843356414429","11","0.034482758620689655","165","0.7971014492753623","0.10076045627376426","0.7924528301886793","308","42","165","11"
"symbol_or_text_search","129","","0.426432","0.8449612403100775","0.5652173913043478","0.8412698412698413","1.0","0.9137931034482758","0.9249384741591469","0.975954241784925","0","0.0","20","0.8695652173913043","0.023255813953488372","1.0","106","3","20","0"
"validation_or_termination","238","","0.426432","0.8277310924369747","0.5874094202898551","0.8355555555555556","0.9791666666666666","0.9016786570743406","0.6571557971014493","0.9082877500006106","4","0.020833333333333332","37","0.8043478260869565","0.0546218487394958","0.6923076923076923","188","9","37","4"
