"group","n","flag","threshold","accuracy","balanced_accuracy","precision","recall","f1","roc_auc","pr_auc","false_fast_count","false_fast_rate","false_slow_count","false_slow_rate","fast_path_rate","safe_fast_precision","cm_tp","cm_tn","cm_fp","cm_fn"
"localized_code_modification","327","","0.426432","0.72782874617737","0.5247648442092887","0.7532894736842105","0.9423868312757202","0.8372943327239488","0.7507593572408388","0.9190970766593997","14","0.05761316872427984","75","0.8928571428571429","0.07033639143730887","0.391304347826087","229","9","75","14"
"repository_navigation","684","","0.426432","0.7558479532163743","0.5981816297984769","0.7531847133757962","0.9752577319587629","0.8499550763701706","0.7952339014660933","0.9141956766734626","12","0.024742268041237112","155","0.7788944723618091","0.08187134502923976","0.7857142857142857","473","44","155","12"
"small_feature_implementation","41","","0.426432","0.8292682926829268","0.5","0.8292682926829268","1.0","0.9066666666666667","0.7899159663865547","0.9073061556779233","0","0.0","7","1.0","0.0","0.0","34","0","7","0"
"test_repair","122","","0.426432","0.7540983606557377","0.5267635590216235","0.7563025210084033","0.989010989010989","0.8571428571428571","0.8169088975540589","0.9439414737919649","1","0.01098901098901099","29","0.9354838709677419","0.02459016393442623","0.6666666666666666","90","2","29","1"
