"model","tasks","successes","success_rate","success_ci95_low","success_ci95_high","mean_reward","total_model_calls","mean_model_calls","total_tokens","mean_tokens","total_model_latency_seconds","mean_model_latency_seconds","total_task_wall_seconds","mean_task_wall_seconds","max_steps_rate","parse_error_steps","recovered_format_steps","hard_parse_failure_steps","model_request_failure_steps","nonzero_exit_steps","repeated_actions","complete_200"
"arfa-qwen2.5-coder:7b-8k","195","52","0.26666666666666666","0.20954319212829253","0.33280609494242097","0.7553846153846151","1022","5.241025641025641","1236625","6341.666666666667","8812.053827054746","45.19001962592177","9104.24655507769","46.68844387219328","0.2564102564102564","131","39","92","0","105","411","False"
"arfa-llama3.1:8b-8k","195","51","0.26153846153846155","0.20488708566569847","0.3274039439779979","0.7480000000000001","777","3.9846153846153847","725281","3719.3897435897434","10704.145246750013","54.893052547435964","11462.22921948601","58.780662664030814","0.05641025641025641","110","0","110","0","116","116","False"
"arfa-qwen2.5-coder:14b-8k","195","80","0.41025641025641024","0.34359886919295923","0.48038162583423827","0.813179487179487","634","3.2512820512820513","631508","3238.502564102564","15895.306556877998","81.51439259937435","16379.255696542008","83.99618305918979","0.08717948717948718","618","577","41","0","48","127","False"
"arfa-llama3.2:3b-8k","195","36","0.18461538461538463","0.13643703618967412","0.24498013204876296","0.7074358974358979","1174","6.02051282051282","1456436","7468.902564102564","4310.524815149722","22.105255462306264","4703.536034201621","24.120697611290364","0.14871794871794872","237","0","237","0","329","221","False"
"arfa-gemma3:4b-8k","195","52","0.26666666666666666","0.20954319212829253","0.33280609494242097","0.7610256410256406","588","3.0153846153846153","768686","3941.979487179487","3967.6424084982136","20.346884146144685","4440.994942166988","22.774333036753784","0.05128205128205128","588","549","39","0","124","87","False"
"arfa-gemma3:12b-8k","195","63","0.3230769230769231","0.26140349557200215","0.39158662319590154","0.7858974358974354","795","4.076923076923077","1039727","5359.417525773196","16227.290768082166","83.2168757337547","16737.61849620586","85.8339410061839","0.09743589743589744","795","658","136","1","85","99","False"
"arfa-phi4-mini:3.8b-8k","195","25","0.1282051282051282","0.08836738753712245","0.18240894900412444","0.696564102564103","736","3.7743589743589743","1097495","5657.190721649485","4985.832152472081","25.56837001267734","5223.739388588758","26.78840712096799","0.2","736","644","91","1","176","314","False"
"arfa-phi4:14b-8k","195","51","0.26153846153846155","0.20488708566569847","0.3274039439779979","0.7548717948717943","620","3.1794871794871793","866593","4444.066666666667","18398.225270158087","94.34987318029789","18714.773134004005","95.97319555899489","0.09230769230769231","620","509","111","0","72","97","False"
