"model","tasks","successes","success_rate","success_ci95_low","success_ci95_high","mean_reward","total_model_calls","mean_model_calls","total_tokens","mean_tokens","total_model_latency_seconds","mean_model_latency_seconds","total_task_wall_seconds","mean_task_wall_seconds","max_steps_rate","parse_error_steps","recovered_format_steps","hard_parse_failure_steps","model_request_failure_steps","nonzero_exit_steps","repeated_actions","complete_200"
"arfa-qwen2.5-coder:7b-8k","200","52","0.26","0.20413736892786316","0.32490871391293097","0.7485499999999997","1055","5.275","1285886","6429.43","9108.225499761944","45.54112749880972","9458.774146327076","47.29387073163538","0.26","131","39","92","0","128","425","True"
"arfa-llama3.1:8b-8k","200","51","0.255","0.19960402982802747","0.3196305130719498","0.7447499999999998","796","3.98","741538","3707.69","10951.97617303801","54.759880865190055","11738.001103987008","58.69000551993504","0.055","110","0","110","0","122","120","True"
"arfa-qwen2.5-coder:14b-8k","200","80","0.4","0.3346046396837895","0.46916456149987484","0.8103999999999997","657","3.285","661015","3305.075","16627.937749169","83.13968874584499","17139.982872293","85.699914361465","0.09","641","600","41","0","50","138","True"
"arfa-llama3.2:3b-8k","200","36","0.18","0.13294550662534108","0.2391159371623843","0.7049000000000002","1225","6.125","1522006","7610.03","4449.75548864677","22.24877744323385","4873.153564869601","24.365767824348005","0.16","237","0","237","0","347","239","True"
"arfa-gemma3:4b-8k","200","52","0.26","0.20413736892786316","0.32490871391293097","0.7588999999999995","604","3.02","791012","3955.06","4073.4053875401733","20.367026937700867","4596.521159375989","22.982605796879945","0.05","604","565","39","0","129","88","True"
"arfa-gemma3:12b-8k","200","63","0.315","0.25462218077944276","0.38235084141033604","0.7819499999999994","821","4.105","1079372","5423.979899497487","16782.691842456174","83.91345921228087","17321.954934663896","86.60977467331948","0.1","821","684","136","1","92","103","True"
"arfa-phi4-mini:3.8b-8k","200","25","0.125","0.0861191515921568","0.1780153528465839","0.6931000000000002","744","3.72","1101494","5535.145728643216","5029.128463015077","25.145642315075385","5291.447002629779","26.457235013148892","0.195","744","650","93","1","176","314","True"
"arfa-phi4:14b-8k","200","51","0.255","0.19960402982802747","0.3196305130719498","0.7531499999999993","628","3.14","871380","4356.9","18617.926602825057","93.08963301412528","18959.848561087972","94.79924280543986","0.09","628","517","111","0","73","97","True"
