"split","base_model","peer_model","group","threshold","paired_tasks","base_success_rate","peer_success_rate","peer_minus_base_success"
"shadow_test","arfa-qwen2.5-coder:7b-8k","arfa-qwen2.5-coder:14b-8k","low_first_residual","0.35","33","0.15151515151515152","0.36363636363636365","0.21212121212121213"
"shadow_test","arfa-qwen2.5-coder:7b-8k","arfa-qwen2.5-coder:14b-8k","high_first_residual","0.35","6","0.16666666666666666","0.3333333333333333","0.16666666666666666"
"shadow_test","arfa-qwen2.5-coder:7b-8k","arfa-qwen2.5-coder:14b-8k","no_executed_step","0.35","1","0","0","0"
"shadow_validation","arfa-llama3.1:8b-8k","arfa-qwen2.5-coder:14b-8k","all","0.35","20","0.15","0.4","0.25"
"shadow_validation","arfa-llama3.1:8b-8k","arfa-qwen2.5-coder:14b-8k","low_first_residual","0.35","14","0.21428571428571427","0.5","0.2857142857142857"
"shadow_validation","arfa-llama3.1:8b-8k","arfa-qwen2.5-coder:14b-8k","high_first_residual","0.35","6","0","0.16666666666666666","0.16666666666666666"
"shadow_validation","arfa-llama3.1:8b-8k","arfa-qwen2.5-coder:7b-8k","all","0.35","20","0.15","0.15","0.0"
"shadow_validation","arfa-llama3.1:8b-8k","arfa-qwen2.5-coder:7b-8k","low_first_residual","0.35","14","0.21428571428571427","0.14285714285714285","-0.07142857142857142"
"shadow_validation","arfa-llama3.1:8b-8k","arfa-qwen2.5-coder:7b-8k","high_first_residual","0.35","6","0","0.16666666666666666","0.16666666666666666"
"shadow_validation","arfa-qwen2.5-coder:14b-8k","arfa-llama3.1:8b-8k","all","0.35","20","0.4","0.15","-0.25"
"shadow_validation","arfa-qwen2.5-coder:14b-8k","arfa-llama3.1:8b-8k","low_first_residual","0.35","18","0.4444444444444444","0.16666666666666666","-0.2777777777777778"
"shadow_validation","arfa-qwen2.5-coder:14b-8k","arfa-llama3.1:8b-8k","high_first_residual","0.35","2","0","0","0"
"shadow_validation","arfa-qwen2.5-coder:14b-8k","arfa-qwen2.5-coder:7b-8k","all","0.35","20","0.4","0.15","-0.25"
"shadow_validation","arfa-qwen2.5-coder:14b-8k","arfa-qwen2.5-coder:7b-8k","low_first_residual","0.35","18","0.4444444444444444","0.16666666666666666","-0.2777777777777778"
"shadow_validation","arfa-qwen2.5-coder:14b-8k","arfa-qwen2.5-coder:7b-8k","high_first_residual","0.35","2","0","0","0"
"shadow_validation","arfa-qwen2.5-coder:7b-8k","arfa-llama3.1:8b-8k","all","0.35","20","0.15","0.15","0.0"
"shadow_validation","arfa-qwen2.5-coder:7b-8k","arfa-llama3.1:8b-8k","low_first_residual","0.35","17","0.17647058823529413","0.11764705882352941","-0.05882352941176472"
"shadow_validation","arfa-qwen2.5-coder:7b-8k","arfa-llama3.1:8b-8k","high_first_residual","0.35","3","0","0.3333333333333333","0.3333333333333333"
"shadow_validation","arfa-qwen2.5-coder:7b-8k","arfa-qwen2.5-coder:14b-8k","all","0.35","20","0.15","0.4","0.25"
"shadow_validation","arfa-qwen2.5-coder:7b-8k","arfa-qwen2.5-coder:14b-8k","low_first_residual","0.35","17","0.17647058823529413","0.35294117647058826","0.17647058823529413"
"shadow_validation","arfa-qwen2.5-coder:7b-8k","arfa-qwen2.5-coder:14b-8k","high_first_residual","0.35","3","0","0.6666666666666666","0.6666666666666666"
